name,description,url,downloads,owners,owners_urls
vibrant,PyTorch powered Finite Elements,https://pypi.org/project/vibrant/,4646,gcapu,https://pypi.org/user/gcapu/
expressions,Extensible arithmetic expression parser and compiler,https://pypi.org/project/expressions/,77187,Stiivi,https://pypi.org/user/Stiivi/
NEXRAD-quickplot,easily download and plot NEXRAD weather radar reflectivity data,https://pypi.org/project/NEXRAD-quickplot/,40759,scivision,https://pypi.org/user/scivision/
nvcl-kit,Downloads Australian NVCL datasets,https://pypi.org/project/nvcl-kit/,26511,vfazio,https://pypi.org/user/vfazio/
jumany,Interface for JUMAN Morphological analysis system,https://pypi.org/project/jumany/,11108,yujakudo,https://pypi.org/user/yujakudo/
mmsbm,Compute Mixed Membership Stochastic Block Models.,https://pypi.org/project/mmsbm/,3490,eudald,https://pypi.org/user/eudald/
pyHarmonySearch,pyHarmonySearch is a pure Python implementation of the harmony search (HS) global optimization algorithm.,https://pypi.org/project/pyHarmonySearch/,51200,gfairchild,https://pypi.org/user/gfairchild/
cwru,Case Western Reserve University Bearing Data,https://pypi.org/project/cwru/,11855,liliangmin,https://pypi.org/user/liliangmin/
xbatcher,Batch generation from xarray dataset,https://pypi.org/project/xbatcher/,500,jhamman,https://pypi.org/user/jhamman/
integrator_mandubab,Simple Integrator for INF4331 assignment4 in UiO,https://pypi.org/project/integrator_mandubab/,18308,mandubab,https://pypi.org/user/mandubab/
agrc-usaddress,Parse US (optimized for Utah by AGRC) addresses using conditional random fields,https://pypi.org/project/agrc-usaddress/,3755,stdavis,https://pypi.org/user/stdavis/
bob.db.mobio,MOBIO Database Access API for Bob,https://pypi.org/project/bob.db.mobio/,66398,"Amir.Mohammadi,anjos,biometrics,ivana7c,khoury,laurentes,pkorshunov,ptome,siebenkopf,smarcel,Tiago.Freitas.Pereira,tiagofrepereira","https://pypi.org/user/Amir.Mohammadi/,https://pypi.org/user/anjos/,https://pypi.org/user/biometrics/,https://pypi.org/user/ivana7c/,https://pypi.org/user/khoury/,https://pypi.org/user/laurentes/,https://pypi.org/user/pkorshunov/,https://pypi.org/user/ptome/,https://pypi.org/user/siebenkopf/,https://pypi.org/user/smarcel/,https://pypi.org/user/Tiago.Freitas.Pereira/,https://pypi.org/user/tiagofrepereira/"
PyExp,A microframework for small computational experiments.,https://pypi.org/project/PyExp/,27296,ad3002,https://pypi.org/user/ad3002/
panel-sketch,"To sketch high performing, interactive visualizations running in the browser and drawing inspiration from p5js",https://pypi.org/project/panel-sketch/,1780,MarcSkovMadsen,https://pypi.org/user/MarcSkovMadsen/
rotograd,Dynamic Gradient Homogenization for Multitask Learning in Pytorch,https://pypi.org/project/rotograd/,4427,adrianjav,https://pypi.org/user/adrianjav/
tensorboard,TensorBoard lets you watch Tensors Flow,https://pypi.org/project/tensorboard/,244985945,tensorboard,https://pypi.org/user/tensorboard/
soxr,"High quality, one-dimensional sample-rate conversion library",https://pypi.org/project/soxr/,84292,dofu,https://pypi.org/user/dofu/
pysam,pysam,https://pypi.org/project/pysam/,4595972,grepall,https://pypi.org/user/grepall/
pypopt,Bindings to Ipopt C++ library.,https://pypi.org/project/pypopt/,9339,fracek,https://pypi.org/user/fracek/
FlowCytometryTools,A python package for performing flow cytometry analysis,https://pypi.org/project/FlowCytometryTools/,65294,eyurtsev,https://pypi.org/user/eyurtsev/
kaftools,Small extensible package for Kernel Adaptive Filtering (KAF) methods.,https://pypi.org/project/kaftools/,12575,crsilva,https://pypi.org/user/crsilva/
tensorly-torch,"Deep Learning with Tensors in Python, using PyTorch and TensorLy.",https://pypi.org/project/tensorly-torch/,2133,JeanKossaifi,https://pypi.org/user/JeanKossaifi/
aquitania,Algorithmic Trading with Artificial Intelligence,https://pypi.org/project/aquitania/,50351,hroark,https://pypi.org/user/hroark/
vivaldi-a,Visualization Validation and Diagnostics for Atmospheric chemistry,https://pypi.org/project/vivaldi-a/,1281,"Duseong,rrbuchholz","https://pypi.org/user/Duseong/,https://pypi.org/user/rrbuchholz/"
pygempick,Open Source Batch Gold Particle Picking & Procesing for Immunogold Diagnostics,https://pypi.org/project/pygempick/,22825,jmarsil,https://pypi.org/user/jmarsil/
ducc0,"Distinctly useful code collection: contains efficient algorithms for Fast Fourier (and related) transforms, spherical harmonic transforms involving very general spherical grids, gridding/degridding tools for radio interferometry, 4pi spherical convolution operators and much more.",https://pypi.org/project/ducc0/,29958,mreineck,https://pypi.org/user/mreineck/
D3GB,Creates an interactive genome browser with python,https://pypi.org/project/D3GB/,5898,bioinfousal,https://pypi.org/user/bioinfousal/
pytriplet,"Fine-tuning Transformers with TPUs or GPUs acceleration, written in Tensorflow2.0",https://pypi.org/project/pytriplet/,2225,wangcongcong123,https://pypi.org/user/wangcongcong123/
PytorchCNNModules,Pytorch CNN Module collection,https://pypi.org/project/PytorchCNNModules/,1271,nkatankta,https://pypi.org/user/nkatankta/
a3cosmos-gas-evolution,A Python Package for Galaxy Cold Molecular Gas and Star Formation Evolution Equations.,https://pypi.org/project/a3cosmos-gas-evolution/,47062,astro.dzliu,https://pypi.org/user/astro.dzliu/
bird,BIRD,https://pypi.org/project/bird/,15501,"agramfort,MMoussallam","https://pypi.org/user/agramfort/,https://pypi.org/user/MMoussallam/"
smarttap,Public transport smart card data analysis software,https://pypi.org/project/smarttap/,3607,JohnTasker,https://pypi.org/user/JohnTasker/
petbox-dca,Decline Curve Library,https://pypi.org/project/petbox-dca/,7628,dsfulf,https://pypi.org/user/dsfulf/
cmip-basins,Generate CMIP-style ocean basin masks,https://pypi.org/project/cmip-basins/,2541,krasting,https://pypi.org/user/krasting/
product-key-memory,Product Key Memory,https://pypi.org/project/product-key-memory/,76405,lucidrains,https://pypi.org/user/lucidrains/
app-stle,Adaptive pressure profile tracking of the shock-train leading edge.,https://pypi.org/project/app-stle/,1902,ghunt,https://pypi.org/user/ghunt/
py4xs,python package for processing x-ray scattering data,https://pypi.org/project/py4xs/,229128,lyang11973,https://pypi.org/user/lyang11973/
oligo-melting,A Python3 package for melting temperature calculation of oligonucleotides hybridization and secondary structures.,https://pypi.org/project/oligo-melting/,11051,ggirelli,https://pypi.org/user/ggirelli/
pyirf,A python library to calculate IACT IRFs and Sensitivities,https://pypi.org/project/pyirf/,13963,"cta-observatory,maxnoe,mperesano","https://pypi.org/user/cta-observatory/,https://pypi.org/user/maxnoe/,https://pypi.org/user/mperesano/"
PyAppleSMS,Python module for Apple SMS (Sudden Motion Sensor),https://pypi.org/project/PyAppleSMS/,7460,black.bird,https://pypi.org/user/black.bird/
nboost,"Nboost is a scalable, search-api-boosting platform for developing and deploying automated SOTA models more relevant search results.",https://pypi.org/project/nboost/,27959,"colethienes,jpertschuk","https://pypi.org/user/colethienes/,https://pypi.org/user/jpertschuk/"
beard,Bibliographic Entity Automatic         Recognition and Disambiguation,https://pypi.org/project/beard/,26472,inspirehep,https://pypi.org/user/inspirehep/
taobao-sdk,TaoBao SDK,https://pypi.org/project/taobao-sdk/,3688,blackcat,https://pypi.org/user/blackcat/
fast-ska,"A fast Cython implementation of the ""Streaming K-mer Assignment"" algorithm initially described in Lambert et al. 2014 (PMID: 24837674)",https://pypi.org/project/fast-ska/,7826,mjens,https://pypi.org/user/mjens/
pyfab,Python interface to the Fabber toolkit for Bayesian model fitting,https://pypi.org/project/pyfab/,17893,elczkc,https://pypi.org/user/elczkc/
pyFC,"Fractal cube generator, analyzer and visualizer",https://pypi.org/project/pyFC/,31997,Alexander.Wagner,https://pypi.org/user/Alexander.Wagner/
nipype,Neuroimaging in Python: Pipelines and Interfaces,https://pypi.org/project/nipype/,776936,"cjmarkie,filo,mgxd,satra","https://pypi.org/user/cjmarkie/,https://pypi.org/user/filo/,https://pypi.org/user/mgxd/,https://pypi.org/user/satra/"
expert-mst,Exact and pervasive expert model for source tracking based on transfer learning,https://pypi.org/project/expert-mst/,2468,AdeBC,https://pypi.org/user/AdeBC/
pyiron-gpl,pyiron - an integrated development environment (IDE) for computational materials science.,https://pypi.org/project/pyiron-gpl/,2927,"jan-janssen,niklassiemer,pyiron","https://pypi.org/user/jan-janssen/,https://pypi.org/user/niklassiemer/,https://pypi.org/user/pyiron/"
candig-ingest,Routines for ingesting metadata to a CanDIG repository,https://pypi.org/project/candig-ingest/,13390,"CanDIG,felipesasso,jimli","https://pypi.org/user/CanDIG/,https://pypi.org/user/felipesasso/,https://pypi.org/user/jimli/"
cap-fairing,CAP Fairing Python SDK.,https://pypi.org/project/cap-fairing/,2309,mojokb,https://pypi.org/user/mojokb/
pynchrotron,computes synchrotron from cooling electrons,https://pypi.org/project/pynchrotron/,3879,grburgess,https://pypi.org/user/grburgess/
ndicom-region-growing,No project description provided,https://pypi.org/project/ndicom-region-growing/,4216,rbaygildin,https://pypi.org/user/rbaygildin/
jupyter-multiselection,A nbextension to select occurences of the currently selected text,https://pypi.org/project/jupyter-multiselection/,4647,chrdudek,https://pypi.org/user/chrdudek/
amicrt,Model-based conditional independence tests,https://pypi.org/project/amicrt/,1529,ms7490,https://pypi.org/user/ms7490/
pbasemap,Tool to download Planet Monthly Mosaic Quads,https://pypi.org/project/pbasemap/,19050,samapriya,https://pypi.org/user/samapriya/
scikit-lego,a collection of lego bricks for scikit-learn pipelines,https://pypi.org/project/scikit-lego/,147995,"koaning,MBrouns","https://pypi.org/user/koaning/,https://pypi.org/user/MBrouns/"
SocketFactory,"Python library to analyze how the shape of the stump evolves, from the cast to the finished socket, based on the three-dimensional digitization of the surfaces.",https://pypi.org/project/SocketFactory/,4387,LM_Socket,https://pypi.org/user/LM_Socket/
pyteomics.cythonize,An Cython-accelerated version of common pyteomics functions,https://pypi.org/project/pyteomics.cythonize/,45482,mobiusklein,https://pypi.org/user/mobiusklein/
ucal-client,Client for Ucal Manager Server,https://pypi.org/project/ucal-client/,7675,zimka_b,https://pypi.org/user/zimka_b/
pydatasentry,Memory tool for Python-Based Data Science,https://pypi.org/project/pydatasentry/,9609,pingali,https://pypi.org/user/pingali/
empathy-machines,An off-the-rack NLP sentiment classifier- upload your own corpus or use the pre-installed ones,https://pypi.org/project/empathy-machines/,10151,ClimbsRocks,https://pypi.org/user/ClimbsRocks/
deep-daze,Deep Daze,https://pypi.org/project/deep-daze/,153850,lucidrains,https://pypi.org/user/lucidrains/
dask-profiling,Generate profile report for dask DataFrame,https://pypi.org/project/dask-profiling/,2497,sbrugman,https://pypi.org/user/sbrugman/
nufeb-tools,Python-based tools and utilities for NUFEB simulations,https://pypi.org/project/nufeb-tools/,19503,jsakkos,https://pypi.org/user/jsakkos/
TVDTheBigBangTheory,TheBigBangTheory plugin for TVD dataset,https://pypi.org/project/TVDTheBigBangTheory/,102619,hbredin,https://pypi.org/user/hbredin/
reSTLintBear,'reSTLintBear' bear for coala (http://coala.rtfd.org/),https://pypi.org/project/reSTLintBear/,97015,Adrianzatreanu,https://pypi.org/user/Adrianzatreanu/
dyst,Dyst Dynamic histograms in the terminal,https://pypi.org/project/dyst/,12289,deepbit,https://pypi.org/user/deepbit/
bedhost,A database server application that provides both a RESTful API and GUI for access to BED files and related basic statistics,https://pypi.org/project/bedhost/,2409,databio,https://pypi.org/user/databio/
haisweetviz,A pandas-based library to visualize and compare datasets.,https://pypi.org/project/haisweetviz/,1875,lambdakim,https://pypi.org/user/lambdakim/
jsntlib,A number theory library adapted from mathematic fundamentals of information security homework codes.,https://pypi.org/project/jsntlib/,48238,Jarry_Shaw,https://pypi.org/user/Jarry_Shaw/
cpg-utils,Library of convenience functions specific to the CPG,https://pypi.org/project/cpg-utils/,427,vladsaveliev,https://pypi.org/user/vladsaveliev/
CPFcluster,An Implementation of Component-wise Peak Finding Clustering Method,https://pypi.org/project/CPFcluster/,12151,tobinjo,https://pypi.org/user/tobinjo/
minerva-ui,An out-of-the-box GUI tool for offline deep reinforcement learning,https://pypi.org/project/minerva-ui/,7218,takuseno,https://pypi.org/user/takuseno/
gym-zelda-1,Super Mario Bros. for OpenAI Gym,https://pypi.org/project/gym-zelda-1/,16116,kautenja,https://pypi.org/user/kautenja/
DynamicsPy,DynamicsPy: A backend-free numerical integration software for differential equations,https://pypi.org/project/DynamicsPy/,1067,chaoming_wang,https://pypi.org/user/chaoming_wang/
bigraph,Python package for link prediction in bipartite graphs and networks,https://pypi.org/project/bigraph/,3942,"soran,taleb.zarhesh","https://pypi.org/user/soran/,https://pypi.org/user/taleb.zarhesh/"
SimPel,Simulation of PELDOR time traces,https://pypi.org/project/SimPel/,5095,StephanRein,https://pypi.org/user/StephanRein/
ts-insights,Python package to get time series insights,https://pypi.org/project/ts-insights/,1201,nikhil_bankar,https://pypi.org/user/nikhil_bankar/
ranger,A Python package for the manipulation of Range objects,https://pypi.org/project/ranger/,113834,er432,https://pypi.org/user/er432/
aanalytics2,Adobe Analytics API 2.0 python wrapper,https://pypi.org/project/aanalytics2/,105555,pitchkrak,https://pypi.org/user/pitchkrak/
paddleseg,End-to-end image segmentation kit based on PaddlePaddle.,https://pypi.org/project/paddleseg/,4771,paddle-dev,https://pypi.org/user/paddle-dev/
cma,"CMA-ES, Covariance Matrix Adaptation Evolution Strategy for non-linear numerical optimization in Python",https://pypi.org/project/cma/,1728745,Nikolaus.Hansen,https://pypi.org/user/Nikolaus.Hansen/
rootpy,A pythonic layer on top of the ROOT framework's PyROOT bindings.,https://pypi.org/project/rootpy/,74123,"noeldawe,pwaller","https://pypi.org/user/noeldawe/,https://pypi.org/user/pwaller/"
pipettewrapper,Wrapper to allow Opentrons multichannel pipettes to use any number of tips,https://pypi.org/project/pipettewrapper/,6231,liamhawkins,https://pypi.org/user/liamhawkins/
ztfquery,access ZTF data from python ,https://pypi.org/project/ztfquery/,53357,mrigault,https://pypi.org/user/mrigault/
chembl-downloader,"Download, open, and query ChEMBL through SQLite",https://pypi.org/project/chembl-downloader/,8004,cthoyt,https://pypi.org/user/cthoyt/
smartpy,SMARTpy: an open-source rainfall-runoff model in Python,https://pypi.org/project/smartpy/,41806,ThibHlln,https://pypi.org/user/ThibHlln/
klvdata,A Python library for parsing MISB/STANAG 4609 Key Length Value (KLV) metadata.,https://pypi.org/project/klvdata/,26597,paretech,https://pypi.org/user/paretech/
xklearn,Handy machine learning tools in the spirit of scikit-learn.,https://pypi.org/project/xklearn/,9430,simon-larsson,https://pypi.org/user/simon-larsson/
wolvr,Utility Belt for Machine Learning,https://pypi.org/project/wolvr/,5930,tombresee,https://pypi.org/user/tombresee/
freud-analysis,"Powerful, efficient trajectory analysis in scientific Python.",https://pypi.org/project/freud-analysis/,188355,"b-butler,bdice,joaander,kelwang,tomwalt,vramasub","https://pypi.org/user/b-butler/,https://pypi.org/user/bdice/,https://pypi.org/user/joaander/,https://pypi.org/user/kelwang/,https://pypi.org/user/tomwalt/,https://pypi.org/user/vramasub/"
moira,Quality-filter raw sequence reads using the Poisson binomial filtering algorithm,https://pypi.org/project/moira/,33811,fpusan,https://pypi.org/user/fpusan/
voxface,Fast MRI face voxelator,https://pypi.org/project/voxface/,1836,jmtyszka,https://pypi.org/user/jmtyszka/
conformer,The convolutional module from the Conformer paper,https://pypi.org/project/conformer/,16815,lucidrains,https://pypi.org/user/lucidrains/
opencv-contrib-python,Wrapper package for OpenCV python bindings.,https://pypi.org/project/opencv-contrib-python/,12113680,"asmorkalov,sergregory,skvark","https://pypi.org/user/asmorkalov/,https://pypi.org/user/sergregory/,https://pypi.org/user/skvark/"
utm,Bidirectional UTM-WGS84 converter for python,https://pypi.org/project/utm/,12422847,Tobias.Bieniek,https://pypi.org/user/Tobias.Bieniek/
bread-tools,Basic processing tools in common algorithms.,https://pypi.org/project/bread-tools/,3020,joe.laue,https://pypi.org/user/joe.laue/
rengine,Most used methods for recommendation engine,https://pypi.org/project/rengine/,821,rafifahreza,https://pypi.org/user/rafifahreza/
tinycrawler,Small customizable multiprocessing multi-proxy crawler.,https://pypi.org/project/tinycrawler/,21207,LucaCappelletti94,https://pypi.org/user/LucaCappelletti94/
geoshapespc,Generates a series of 3D point clouds around geometric shapes.,https://pypi.org/project/geoshapespc/,6096,matheus.bv,https://pypi.org/user/matheus.bv/
bio2bel-mesh,A package for converting MeSH to BEL,https://pypi.org/project/bio2bel-mesh/,8842,cthoyt,https://pypi.org/user/cthoyt/
DSAs,Python 3 implementations of various data structures & algorithms.,https://pypi.org/project/DSAs/,2392,discretegames,https://pypi.org/user/discretegames/
torchtyping,"Runtime type annotations for the shape, dtype etc. of PyTorch Tensors.",https://pypi.org/project/torchtyping/,158499,patrick-kidger,https://pypi.org/user/patrick-kidger/
pyncomb,PYthoN COMBinatorics library,https://pypi.org/project/pyncomb/,23202,vorpal,https://pypi.org/user/vorpal/
pys5p,Software package to access S5p Tropomi data products,https://pypi.org/project/pys5p/,6436,rmvanhees,https://pypi.org/user/rmvanhees/
etiq-core,ETIQ.ai debiasing library,https://pypi.org/project/etiq-core/,6412,andrewnelisetiq,https://pypi.org/user/andrewnelisetiq/
fix-yahoo-finance,Yahoo! Finance market data downloader +fix for Pandas Datareader's get_data_yahoo(),https://pypi.org/project/fix-yahoo-finance/,341835,ranaroussi,https://pypi.org/user/ranaroussi/
kfp,KubeFlow Pipelines SDK,https://pypi.org/project/kfp/,4323090,"google_opensource,kubeflow-pipelines,neuromage","https://pypi.org/user/google_opensource/,https://pypi.org/user/kubeflow-pipelines/,https://pypi.org/user/neuromage/"
allenact-plugins,Plugins for the AllenAct framework,https://pypi.org/project/allenact-plugins/,7008,allenact,https://pypi.org/user/allenact/
tri,(Constrained) Delaunay Triangulation of Planar Straight Line Graphs (pure Python),https://pypi.org/project/tri/,11616,bmmeijers,https://pypi.org/user/bmmeijers/
ib-python,IbPy - Interactive Brokers Python API,https://pypi.org/project/ib-python/,10517,ratson,https://pypi.org/user/ratson/
stools,Command line tools for container quality assurance,https://pypi.org/project/stools/,5632,vsochat,https://pypi.org/user/vsochat/
trackingprotection-tools,Tools for working with Firefox Tracking Protection.,https://pypi.org/project/trackingprotection-tools/,143841,"englehardt,sykim,vringar","https://pypi.org/user/englehardt/,https://pypi.org/user/sykim/,https://pypi.org/user/vringar/"
teos10,Unofficial Python implementation of the TEOS-10 properties of water,https://pypi.org/project/teos10/,2040,mvdh,https://pypi.org/user/mvdh/
census-area,Census data for arbitrary geographies,https://pypi.org/project/census-area/,33643,"datamade.wheelbuilder,Derek.Eder,fgregg","https://pypi.org/user/datamade.wheelbuilder/,https://pypi.org/user/Derek.Eder/,https://pypi.org/user/fgregg/"
h5preserve,"Thin wrapper around h5py, inspired by camel",https://pypi.org/project/h5preserve/,144544,aragilar,https://pypi.org/user/aragilar/
globsim,Using global reanalysis data for local permafrost simulation,https://pypi.org/project/globsim/,1411,nicholas512,https://pypi.org/user/nicholas512/
sgext,SGEXT is an open-source toolkit for skeletonization and graph analysis,https://pypi.org/project/sgext/,128283,phcerdan,https://pypi.org/user/phcerdan/
aasalert,Search the AAS Job Register.,https://pypi.org/project/aasalert/,17846,alecthomson,https://pypi.org/user/alecthomson/
opencv-rolling-ball,Now function returns both result image and subtracted background,https://pypi.org/project/opencv-rolling-ball/,9904,mbalatsko,https://pypi.org/user/mbalatsko/
astrometry-net-client,A Python interface for the Astrometry.net API.,https://pypi.org/project/astrometry-net-client/,5982,StenSipma,https://pypi.org/user/StenSipma/
ensurance,Input Array Ensurance Functions,https://pypi.org/project/ensurance/,1328,ajquinn,https://pypi.org/user/ajquinn/
advutils,advanced utilities for general purposes,https://pypi.org/project/advutils/,8358,davtoh,https://pypi.org/user/davtoh/
pyirs,Python Interfaces for Reactor Simulations,https://pypi.org/project/pyirs/,1953,AntonTravleev,https://pypi.org/user/AntonTravleev/
r2g-gui,"A GUI for r2g, which is a homology-based, computationally lightweight pipeline for discovering genes in the absence of an assembly",https://pypi.org/project/r2g-gui/,2084,yangwu91,https://pypi.org/user/yangwu91/
enstop,Ensemble topic modelling with pLSA,https://pypi.org/project/enstop/,16069,lmcinnes,https://pypi.org/user/lmcinnes/
syned,SYNED (SYNchrotron Elements Dictionary) kernel library,https://pypi.org/project/syned/,40177,"lucarebuffi,srio","https://pypi.org/user/lucarebuffi/,https://pypi.org/user/srio/"
imgaug,Image augmentation library for deep neural networks,https://pypi.org/project/imgaug/,4778943,aleju,https://pypi.org/user/aleju/
omicexperiment,For analysis of omic experiments.,https://pypi.org/project/omicexperiment/,5863,bassio,https://pypi.org/user/bassio/
torchcam,Class activation maps for your PyTorch CNN models,https://pypi.org/project/torchcam/,8112,frgfm,https://pypi.org/user/frgfm/
pymdptoolbox,Markov Decision Process (MDP) Toolbox,https://pypi.org/project/pymdptoolbox/,35447,sawcordwell,https://pypi.org/user/sawcordwell/
quantgen,Quantitative genetics in Python,https://pypi.org/project/quantgen/,9473,er432,https://pypi.org/user/er432/
seq2seq-lstm,Sequence-to-sequence classifier based on LSTM with the simple sklearn-like interface,https://pypi.org/project/seq2seq-lstm/,12919,bond005,https://pypi.org/user/bond005/
ou-tm129-py,Python environment for TM129,https://pypi.org/project/ou-tm129-py/,8048,psychemedia,https://pypi.org/user/psychemedia/
qbiome,Analyzing microbiome abundance data to infer deep structures,https://pypi.org/project/qbiome/,25252,"ishanuc,lynnzheng","https://pypi.org/user/ishanuc/,https://pypi.org/user/lynnzheng/"
project-quickstart,Creates template folder and file structure for a Python based data science project.,https://pypi.org/project/project-quickstart/,41045,antoniob,https://pypi.org/user/antoniob/
stuphos,Containerization middleware.,https://pypi.org/project/stuphos/,5463,cbanis,https://pypi.org/user/cbanis/
feedback-transformer-pytorch,Implementation of Feedback Transformer in Pytorch,https://pypi.org/project/feedback-transformer-pytorch/,11014,lucidrains,https://pypi.org/user/lucidrains/
suzu,fake UI program for SRIM parameter input program (tin.exe),https://pypi.org/project/suzu/,7138,takaakiaoki,https://pypi.org/user/takaakiaoki/
pyjibe,Graphical user interface for Bio-AFM analysis,https://pypi.org/project/pyjibe/,63254,"ci_afm,paulmueller","https://pypi.org/user/ci_afm/,https://pypi.org/user/paulmueller/"
sumy,Module for automatic summarization of text documents and HTML pages.,https://pypi.org/project/sumy/,532756,misobelica,https://pypi.org/user/misobelica/
wingstructure,A library for structure calculations in airplane wings,https://pypi.org/project/wingstructure/,10960,akafliegdarmstadt,https://pypi.org/user/akafliegdarmstadt/
spgl1, SPGL1: A solver for large-scale sparse reconstruction.,https://pypi.org/project/spgl1/,10886,mrava87,https://pypi.org/user/mrava87/
pepfrag,A library for peptide fragment ion generation,https://pypi.org/project/pepfrag/,5030,dspencer12,https://pypi.org/user/dspencer12/
amuse-kepler-orbiters,The Astrophysical Multipurpose Software Environment - Kepler-orbiters,https://pypi.org/project/amuse-kepler-orbiters/,23767,"ipelupessy,rieder","https://pypi.org/user/ipelupessy/,https://pypi.org/user/rieder/"
clusgeo,CLUSter GEOmetry tool for surface chemistry.,https://pypi.org/project/clusgeo/,30155,"Aki78,marchunter","https://pypi.org/user/Aki78/,https://pypi.org/user/marchunter/"
bodynavigation,Body navigation in CT images,https://pypi.org/project/bodynavigation/,48758,mjirik,https://pypi.org/user/mjirik/
pyoptica,Tools to apply light propagation algorithms,https://pypi.org/project/pyoptica/,5294,pyoptica,https://pypi.org/user/pyoptica/
bob.bio.csu,Wrapper classes to use the PythonFaceEvaluation classes from the CSU Face Recognition Resources,https://pypi.org/project/bob.bio.csu/,24728,"Amir.Mohammadi,anjos,biometrics,ivana7c,khoury,laurentes,siebenkopf,smarcel,tiagofrepereira","https://pypi.org/user/Amir.Mohammadi/,https://pypi.org/user/anjos/,https://pypi.org/user/biometrics/,https://pypi.org/user/ivana7c/,https://pypi.org/user/khoury/,https://pypi.org/user/laurentes/,https://pypi.org/user/siebenkopf/,https://pypi.org/user/smarcel/,https://pypi.org/user/tiagofrepereira/"
unicode-write,Unicode Write,https://pypi.org/project/unicode-write/,5666,BLester125,https://pypi.org/user/BLester125/
tm_navigator,UNKNOWN,https://pypi.org/project/tm_navigator/,5578,aplavin,https://pypi.org/user/aplavin/
PyLMNN,Large Margin Nearest Neighbor implementation in python,https://pypi.org/project/PyLMNN/,143788,johnyc,https://pypi.org/user/johnyc/
airfoils,Airfoils (aerofoils),https://pypi.org/project/airfoils/,26557,aaron.dettmann,https://pypi.org/user/aaron.dettmann/
tikzplotlib,Convert matplotlib figures into TikZ/PGFPlots,https://pypi.org/project/tikzplotlib/,75751,nschloe,https://pypi.org/user/nschloe/
cu-astr2600,A collection of toys and tools for ASTR2600 at CU Boulder.,https://pypi.org/project/cu-astr2600/,18023,zkbt,https://pypi.org/user/zkbt/
secat,Size-Exclusion Chromatography Algorithmic Toolkit,https://pypi.org/project/secat/,7425,grosenberger,https://pypi.org/user/grosenberger/
bfscplate2d,Implementation of the BFSm plate finite element in 2D,https://pypi.org/project/bfscplate2d/,5847,saullocastro,https://pypi.org/user/saullocastro/
RoundCreator,A tool that creates a programming contest folder structure,https://pypi.org/project/RoundCreator/,34656,sergio.r.g,https://pypi.org/user/sergio.r.g/
torchcsprng,Cryptographically secure pseudorandom number generators for PyTorch,https://pypi.org/project/torchcsprng/,105936,seemethere,https://pypi.org/user/seemethere/
ALS.Liam,Visualize CCD data from ALS BL 4.0.2 diffractometer,https://pypi.org/project/ALS.Liam/,5235,pshafer,https://pypi.org/user/pshafer/
freestream,Free streaming for heavy-ion collision initial conditions.,https://pypi.org/project/freestream/,10136,jbernhard,https://pypi.org/user/jbernhard/
wq.app,Offline-capable HTML5 web and hybrid apps for citizen science field data collection.,https://pypi.org/project/wq.app/,94957,sheppard,https://pypi.org/user/sheppard/
onnx2keras-tl-fork,The deep learning models converter,https://pypi.org/project/onnx2keras-tl-fork/,832,doron.harnoy,https://pypi.org/user/doron.harnoy/
aprile,"Adverse Polypharmacy Reaction Intelligent Learner and Explainer (APRILE) -- An explainable machine learning framework for exploring the molecular mechanisms of adverse drug reactions caused by polypharmacy (including disease, symptoms and mentel disorders).",https://pypi.org/project/aprile/,419,nyxflower,https://pypi.org/user/nyxflower/
primer3plus,An easy-to-use Python API for Primer3 primer design.,https://pypi.org/project/primer3plus/,23871,jvrana,https://pypi.org/user/jvrana/
scikit-keras,Scikit-learn-compatible Keras models,https://pypi.org/project/scikit-keras/,49331,daviddiazvico,https://pypi.org/user/daviddiazvico/
Nsound,"Nsound is a C++ library and Python module for audio synthesis
    featuring dynamic digital filters. Nsound lets you easily shape
    waveforms and write to disk or plot them. Nsound aims to be as
    powerful as Csound but easy to use.",https://pypi.org/project/Nsound/,19523,weegreenblobbie,https://pypi.org/user/weegreenblobbie/
adversarial-robustness-toolbox,Toolbox for adversarial machine learning.,https://pypi.org/project/adversarial-robustness-toolbox/,188188,"bbuesser,irina_nicolae","https://pypi.org/user/bbuesser/,https://pypi.org/user/irina_nicolae/"
trading-calendars,trading_calendars is a Python library with securities exchange calendars used by Quantopian's Zipline.,https://pypi.org/project/trading-calendars/,1002243,quantopian,https://pypi.org/user/quantopian/
matrix-py,"matrix-py module to add, substract, multiply matrices.",https://pypi.org/project/matrix-py/,5389,faresahmed,https://pypi.org/user/faresahmed/
hasi,High-throughput Applications for Skeletal Imaging (HASI) Python content,https://pypi.org/project/hasi/,2964,"dzenanz,tbirdso,thewtex","https://pypi.org/user/dzenanz/,https://pypi.org/user/tbirdso/,https://pypi.org/user/thewtex/"
barcode,Design and test NGS barcodes.,https://pypi.org/project/barcode/,78600,jfjlaros,https://pypi.org/user/jfjlaros/
kyklop,A tropical cyclone detector and tracker.,https://pypi.org/project/kyklop/,9908,rfuentes,https://pypi.org/user/rfuentes/
nvstrings,No project description provided,https://pypi.org/project/nvstrings/,5454,"rapidsai,raydouglass","https://pypi.org/user/rapidsai/,https://pypi.org/user/raydouglass/"
fitna,Data fitting algorithms,https://pypi.org/project/fitna/,13644,plexoos,https://pypi.org/user/plexoos/
